"record_type","dataset","column_name","values_read","permitted_purpose","persisted_raw_values","exposure_specific_bird_summary","prospective_2026_plus_outcome_used","computed","persisted","check_status","support_label","prospective_2026_plus_response_summarized","prospective_2026_plus_response_direction_viewed","prospective_2026_plus_used_in_model_or_design_selection","prior_mechanical_pattern_scan_disclosed","repaired_extraction_filters_date_before_response_selection_or_persistence"
"response_column_access","SHORELINE","EDGE_TYPE",TRUE,"approved shoreline-class and snap audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SECTIONS","Assessment",TRUE,"region recovery",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","detection_rate_by_exposure",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","bird_count_summary_by_exposure",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","active_reference_contrast",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","ratio_or_odds_ratio",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","effect_size_or_coefficient",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","p_value",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","confidence_or_posterior_interval",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","posterior_summary",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","cooccurrence_change_by_spawn_phase_or_distance",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","biological_response_plot",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"prohibited_statistic_check","DERIVED","herring_exposure_response_model",FALSE,"explicit noncomputation assertion",FALSE,FALSE,FALSE,FALSE,FALSE,"PASS_NOT_COMPUTED","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
