"analysis_taxon_id","detections","behavior_code_reports","released_behavior_code_reports","suppressed_below_20","free_text_comments_read","support_label"
"atx_7d980a7c8c37",22844,77,77,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_8f0345249398",16535,70,70,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_9ae1aa9b7fdf",26499,130,130,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_a444854c6b66",46459,733,733,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_87b306550dba",18847,34,34,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_6b4cfd1ab927",21776,25,25,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_c2d1fbbaf6d3",22524,69,69,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_86eda7ed9025",14573,25,25,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_7571c026ae99",3626,3,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1812dd827ede",2229,3,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8",29041,91,91,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8",9531,44,44,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_82312e6f2848",32665,61,61,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_8608f2ed61cf",11734,58,58,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_15dd5efcd8d6",8771,9,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_98ca0000b734",6220,16,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_c12b832d2b03",11985,95,95,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000003",11257,31,31,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_4ae57d328ec6",7753,8,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000005",306,0,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1328b44be502",2837,2,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000002",24068,202,202,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_6cbe5bbd310c",4373,19,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_ebf17f77fb66",2859,8,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_d002764a39e8",13578,18,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_40f730f5ad72",5191,7,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000006",7106,13,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000009",4629,64,64,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_08bb40b40c0a",8339,22,22,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_acf526bb8010",7750,40,40,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_c34f23342a55",11768,21,21,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_04cf65098f13",3808,16,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_136b0e66254b",4948,12,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_59441ff7abde",5153,25,25,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000008",6756,489,489,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000004",1432,0,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000010",251,2,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000001",564,4,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_5a9a3495d0ea",1456,0,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_aa5353f6d6d2",3015,2,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_v2_000011",290,0,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3c2dd2107fbb",4,0,,TRUE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
