"analysis_taxon_id","common_name","guild","PC1","PC2","PC3","PC4","PC5"
"atx_7b80ddaff058","Great Blue Heron","shoreline_scavenger",-0.196885178582743,0.446363667881303,0.294978535920415,-0.430548192213496,-0.117277801136925
"atx_7d980a7c8c37","Northern Pintail","surface_vegetation_roe",-0.454495469364652,0.492073362977042,0.226640206812158,0.430641533363347,0.142892459927728
"atx_815c98107028","Mallard","surface_vegetation_roe",0.705379118397965,-0.162613252122608,-0.172101142456987,-0.133198604362623,-0.530044359902892
"atx_82312e6f2848","Common Goldeneye","roe_diving_seaduck",1.3324541694331,-0.587237013604113,-0.860108896747705,0.300106549631762,-0.291915247688254
"atx_8608f2ed61cf","Pigeon Guillemot","alcid_piscivore",-1.35831807330107,0.0213021785902462,-0.0839548315816558,-0.446168543081585,0.0817859734993851
"atx_86eda7ed9025","Red-necked Grebe","piscivore_active_spawn",-0.892350099279047,0.686379229041693,-0.349597143226464,0.0926564734975919,-0.371584536838629
"atx_87b306550dba","Harlequin Duck","roe_diving_seaduck",0.916911319290723,-0.480272371847709,0.235084935295066,0.448569677364115,0.437501974441892
"atx_98ca0000b734","Brandt's Cormorant","piscivore_active_spawn",0.254573898965843,0.447160038483324,-0.0986460545780561,-0.113155131032234,-0.538659185348736
"atx_99238953638b","Bufflehead","roe_diving_seaduck",-0.373928108647269,-0.134144779961761,-0.117628997080877,0.41875299393962,-0.00261405372190357
"atx_9ae1aa9b7fdf","Common Loon","piscivore_active_spawn",-1.35148187983154,0.4331139049324,0.228924627973191,0.388279786166122,-0.0235404545467759
"atx_a113baee5693","American Wigeon","surface_vegetation_roe",0.388279400067782,0.359767068690721,0.288670133312645,-0.287954078981066,0.201111025710551
"atx_a444854c6b66","Double-crested Cormorant","piscivore_active_spawn",0.581448667849595,-0.143840412128176,0.71150329652688,0.231746428473444,-0.100215114780882
"atx_aa5353f6d6d2","Iceland Gull","gull_roe",3.4612547705167,1.20588059559611,0.469981085140961,0.0617962232135028,0.456789369406155
"atx_acf526bb8010","Marbled Murrelet","alcid_piscivore",0.276617810222494,0.993428881293632,-0.765542529271699,-0.273403885481159,0.468451865308168
"atx_b3d3ea90f9cb","Canada Goose","surface_vegetation_roe",-1.22723204170396,-0.0505618719801648,0.446762169294836,0.148810821017378,-0.0825769288111363
"atx_c12b832d2b03","California Gull","gull_roe",1.80262582842456,-0.303256803064728,0.162248042449639,0.106393504040866,-0.15493062307763
"atx_c2d1fbbaf6d3","Red-breasted Merganser","piscivore_active_spawn",-0.197433126644634,-0.325661897178224,0.752373789406156,0.688512524724295,0.000462937094731858
"atx_c34f23342a55","Pacific Loon","piscivore_active_spawn",-0.183867203225312,-0.844549338610233,0.543328240026973,0.75613729802014,-0.20460659641367
"atx_c9db024faf12","American Crow","shoreline_scavenger",-1.16369651633867,0.779394230163343,-0.231796986250627,0.0210976988515325,-0.190813585210221
"atx_d002764a39e8","Lesser Scaup","roe_diving_seaduck",0.337776264013268,0.0816055314889982,-1.68790282737314,-0.902702245298452,0.19210213876062
"atx_d7dd9536145c","Barrow's Goldeneye","roe_diving_seaduck",0.247373146050084,-0.636058575024015,-0.38988723842999,-0.294219217574414,-0.233538622203323
"atx_e0e678a61ad7","Short-billed Gull","gull_roe",2.69842078300063,-0.595955574131792,-0.104894344496071,1.37449010085833,-0.471534676301509
"atx_ebf17f77fb66","Western Grebe","piscivore_active_spawn",-3.56515900588596,-2.75669519382016,0.224036950584143,-0.728771666374961,0.798416743277611
"atx_fadb8da1a816","Bonaparte's Gull","gull_roe",5.87799420636289,-1.20003600663955,1.45891525410918,-1.70122990277561,0.4745587934252
"atx_fc0a9b777dcd","Bald Eagle","shoreline_scavenger",-0.256242257116747,0.410580410697825,1.12641320515474,0.766502496385821,-0.232213111331952
"atx_v2_000002","Black Oystercatcher","intertidal_roe_shorebird",-0.525496135094915,0.585137292621734,-0.0129931540588481,-0.515254681453496,-0.0937352644636698
"atx_v2_000003","Dunlin","intertidal_roe_shorebird",-1.72435871730928,-0.088160394086588,-0.00092888032983357,-0.554763242752181,0.28877586210784
"atx_v2_000006","Black-bellied Plover","intertidal_roe_shorebird",-0.0899608976213094,1.21983913992328,-0.605080903668246,-0.876290733241352,-0.126030618853952
"atx_v2_000007","Common Raven","shoreline_scavenger",-0.771415705100242,0.568289334129843,0.028086149841628,-0.295085848315231,-0.140788892191484
