"analysis_taxon_id","species","term","zone","period","link_count","checklist_rows","reported_checklists","reporting_proportion","positive_finite_numeric_reports","positive_finite_numeric_median","unquantified_x_reports","suppressed_below_20","observed_unadjusted"
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",2,669,47,0.070254110612855,46,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",3,303,21,0.0693069306930693,21,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",4,194,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",5,95,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",6,53,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",7,27,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",8,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",9,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_pre","near","early_pre",10,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",0,201733,18584,0.0921217649070802,18316,2,262,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",1,9991,1413,0.1414272845561,1392,2,21,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",2,1849,242,0.130881557598702,237,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",3,794,65,0.0818639798488665,64,3,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",4,503,46,0.0914512922465209,46,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",5,656,102,0.155487804878049,99,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",6,357,30,0.0840336134453782,29,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",7,379,58,0.153034300791557,57,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",8,221,26,0.117647058823529,25,3,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",9,178,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",10,178,23,0.129213483146067,23,3,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",11,145,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",12,96,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",13,56,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",14,21,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",15,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",16,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",17,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",18,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_pre","reference","early_pre",19,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",0,212613,20168,0.0948577932675801,19872,2,290,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",1,3277,377,0.115044247787611,369,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",2,628,55,0.0875796178343949,55,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",3,271,20,0.0738007380073801,20,2.5,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",4,216,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",5,81,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",6,67,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",7,29,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",8,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",9,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_immediate_pre","near","immediate_pre",10,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",0,202031,18728,0.092698645257411,18463,2,260,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",1,9732,1341,0.137792848335388,1316,2,24,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",2,1751,217,0.123929183323815,212,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",3,737,66,0.0895522388059701,64,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",4,503,41,0.0815109343936382,41,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",5,714,92,0.128851540616246,89,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",6,381,28,0.073490813648294,27,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",7,385,43,0.111688311688312,41,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",8,241,22,0.0912863070539419,22,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",9,204,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",10,170,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",11,130,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",12,103,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",13,46,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",14,21,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",15,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",16,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",17,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",18,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",19,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_immediate_pre","reference","immediate_pre",20,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",0,214208,20327,0.0948937481326561,20029,2,292,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",1,2041,256,0.125428711415973,251,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",2,470,31,0.0659574468085106,31,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",3,216,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",4,131,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",5,64,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",6,48,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",7,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_spawn_start","near","spawn_start",8,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",0,207441,19481,0.0939110397655237,19197,2,278,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",1,6340,866,0.136593059936909,851,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",2,1225,124,0.101224489795918,123,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",3,530,39,0.0735849056603774,38,2.5,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",4,347,26,0.0749279538904899,26,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",5,406,38,0.0935960591133005,38,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",6,229,22,0.0960698689956332,21,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",7,211,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",8,124,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",9,85,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",10,90,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",11,66,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",12,52,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",13,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",14,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",15,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",16,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",17,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_spawn_start","reference","spawn_start",18,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",0,210182,19906,0.0947083955809727,19616,2,284,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",1,4425,554,0.125197740112994,544,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",2,1278,122,0.0954616588419405,121,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",3,563,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",4,361,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",5,172,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",6,125,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",7,50,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",8,35,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",9,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",10,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_early_egg","near","early_egg",11,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",0,194273,18067,0.0929979976630824,17804,2,258,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",1,13716,1713,0.124890638670166,1693,2,20,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",2,3132,349,0.111430395913155,340,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",3,1172,94,0.0802047781569966,94,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",4,713,62,0.0869565217391304,60,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",5,1094,110,0.10054844606947,108,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",6,637,54,0.0847723704866562,50,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",7,582,47,0.0807560137457045,46,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",8,401,29,0.0723192019950125,29,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",9,314,23,0.0732484076433121,23,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",10,398,23,0.0577889447236181,22,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",11,287,21,0.0731707317073171,21,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",12,237,36,0.151898734177215,36,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",13,98,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",14,48,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",15,23,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",16,34,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",17,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",18,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",19,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_early_egg","reference","early_egg",20,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",0,208488,19835,0.0951373700164997,19550,2,279,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",1,5168,547,0.105843653250774,538,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",2,1914,157,0.0820271682340648,152,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",3,726,35,0.0482093663911846,34,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",4,401,21,0.0523690773067332,21,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",5,245,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",6,140,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",7,52,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",8,55,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",9,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_near_late_egg","near","late_egg",10,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",0,188545,17909,0.094985282028163,17651,2,252,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",1,16001,1594,0.0996187738266358,1574,2,20,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",2,4838,490,0.101281521289789,481,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",3,1600,138,0.08625,138,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",4,959,69,0.0719499478623566,66,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",5,1128,114,0.101063829787234,112,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",6,844,73,0.0864928909952607,67,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",7,816,86,0.105392156862745,85,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",8,519,35,0.0674373795761079,35,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",9,396,23,0.0580808080808081,23,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",10,430,22,0.0511627906976744,22,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",11,377,29,0.0769230769230769,29,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",12,318,33,0.10377358490566,31,2,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",13,162,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",14,93,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",15,48,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",16,64,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",17,28,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",18,22,,,,,,FALSE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",19,,,,,,,TRUE,TRUE
"atx_04afbeb21fb0","Hooded Merganser","es_reference_late_egg","reference","late_egg",23,,,,,,,TRUE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",0,209123,1422,0.00679982593975794,1416,1,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",1,4810,46,0.00956340956340956,46,1,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",2,1756,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",3,618,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",4,449,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",5,205,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",6,149,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",7,58,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",8,26,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_near_baseline","near","baseline",9,,,,,,,TRUE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",0,191208,1214,0.0063491067319359,1208,1,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",1,14661,188,0.0128231362117182,188,1,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",2,4064,57,0.0140255905511811,57,1,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",3,1508,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",4,884,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",5,1110,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",6,831,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",7,755,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",8,464,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",9,371,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",10,396,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",11,319,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",12,308,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",13,125,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",14,74,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",15,30,,,,,,FALSE,TRUE
"atx_04cf65098f13","Red-throated Loon","es_reference_baseline","reference","baseline",16,55,,,,,,FALSE,TRUE
