"analysis_version","analysis_taxon_id","species","outcome","engine","n","event_blocks","observer_clusters","generalized_locations","converged","singular_fit","rank_deficient","optimizer_code","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","reproduction_max_abs_estimate_difference","status","sensitivity_id"
"editorial_requested_analysis_v1","atx_59441ff7abde","Brant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,3.52976255775361,0.365942626217579,10.3786830807771,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_59441ff7abde","Brant","conditional_positive_numeric_count","lme4_lmer_REML",3796,41,1333,558,TRUE,FALSE,FALSE,0,"",0.00297414771921467,0.261688877284455,0.118343657083317,0.638999037685428,1.73901849418753,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_5a9a3495d0ea","Western Gull","checklist_reporting","lme4_glmer_nAGQ0",216824,58,29166,22958,TRUE,FALSE,FALSE,0,"",,1.4716508455353,1.18640500719787,7.56823616886576,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_5a9a3495d0ea","Western Gull","conditional_positive_numeric_count","lme4_lmer_REML",712,31,368,202,TRUE,TRUE,FALSE,0,"boundary (singular) fit: see help('isSingular')",0.000346398110195878,0,0.0644839081643819,0.0018680382987547,0.073761982545514,,"completed_with_singular_warning","binary_any_link"
"editorial_requested_analysis_v1","atx_6b4cfd1ab927","Horned Grebe","checklist_reporting","lme4_glmer_nAGQ0",217142,58,29242,22975,TRUE,FALSE,FALSE,0,"",,3.82973766771649,0.911502321361376,10.4911181534835,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_6b4cfd1ab927","Horned Grebe","conditional_positive_numeric_count","lme4_lmer_REML",13054,55,3022,1747,TRUE,FALSE,FALSE,0,"",0.0125253427540883,0.0169329844996923,0.117501781685282,0.196556620885754,0.59464648718116,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_6cbe5bbd310c","Rhinoceros Auklet","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.99649192765365,1.18698351151796,14.866938310809,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_6cbe5bbd310c","Rhinoceros Auklet","conditional_positive_numeric_count","lme4_lmer_REML",1816,,,,FALSE,,,,"failed_insufficient_support",,,,,,,"failed_insufficient_support","binary_any_link"
"editorial_requested_analysis_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","lme4_glmer_nAGQ0",217037,58,29206,22967,TRUE,FALSE,FALSE,0,"",,0.298301905513863,2.08682082360293,4.88069130469526,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","lme4_lmer_REML",85053,57,13084,7897,TRUE,FALSE,FALSE,0,"",0.0196571636479348,0.0566682327386404,0.286967159324319,0.555572738439841,0.943989832865139,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7571c026ae99","American Herring Gull","checklist_reporting","lme4_glmer_nAGQ0",217179,58,29244,22979,TRUE,FALSE,FALSE,0,"",,0.59175340196177,2.20951259717919,3.43538832207647,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7571c026ae99","American Herring Gull","conditional_positive_numeric_count","lme4_lmer_REML",1851,47,806,498,TRUE,FALSE,FALSE,0,"",0.00127870407595765,0.0238698602992715,0.0978183953240784,0.0172403186540658,0.513577818968572,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7b80ddaff058","Great Blue Heron","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.0350521250222273,0.210197611960751,2.97541602876185,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7b80ddaff058","Great Blue Heron","conditional_positive_numeric_count","lme4_lmer_REML",50285,56,9694,4469,TRUE,FALSE,FALSE,0,"",0.0257712963502854,0.0170594618000725,0.034102596797845,0.124396956932823,0.443814100536767,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7d980a7c8c37","Northern Pintail","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.402644412305542,0.367503091384721,10.6255786468438,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_7d980a7c8c37","Northern Pintail","conditional_positive_numeric_count","lme4_lmer_REML",14278,52,3788,1166,TRUE,FALSE,FALSE,0,"",0.0172470026882365,0.0806678159063514,0.162479302525475,0.57374561677202,1.29635295191141,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_815c98107028","Mallard","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.100388100722219,0.531735519438424,4.87176185439319,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_815c98107028","Mallard","conditional_positive_numeric_count","lme4_lmer_REML",81526,57,14049,6454,TRUE,FALSE,FALSE,0,"",0.0217232445720583,2.03576317411117,0.141350019370207,0.777654705159907,1.02164169087962,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","checklist_reporting","lme4_glmer_nAGQ0",216892,58,29206,22960,TRUE,FALSE,FALSE,0,"",,3.93108546409301,0.598150802844924,6.82151565627476,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","lme4_lmer_REML",21195,55,4512,2398,TRUE,FALSE,FALSE,0,"",0.00533611455466598,0.0804311676140817,0.101400699627282,0.299440228633831,0.779141445281063,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.757366054893974,0.864004603430592,11.3861127086252,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count","lme4_lmer_REML",6342,53,2021,1094,TRUE,FALSE,FALSE,0,"",0.026762681955006,0.0301575638265076,0.065249001361385,0.15844878345437,0.530887306742372,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.2241756517946,1.23235059958883,9.70798648875854,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","lme4_lmer_REML",8109,53,2049,1275,TRUE,FALSE,FALSE,0,"",0.00479463778901845,0.0229286268055503,0.138244570851,0.136404149368197,0.710105708913633,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.44938738918575,0.511085497080619,13.8851265226759,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","lme4_lmer_REML",12030,56,2980,1529,TRUE,FALSE,FALSE,0,"",0.029994516808074,0.0913696988115431,0.0387433757572494,0.277424863557661,0.573673921147178,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.201034404343569,1.39915267547794,10.7067815487616,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_98ca0000b734","Brandt's Cormorant","conditional_positive_numeric_count","lme4_lmer_REML",2573,44,1055,581,TRUE,FALSE,FALSE,0,"",0.0029398461265373,0.0446693216237448,0.152602074976902,0.331121116779466,0.95979534770945,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_99238953638b","Bufflehead","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,9.2460778348765,0.538890053046105,7.12657895339683,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_99238953638b","Bufflehead","conditional_positive_numeric_count","lme4_lmer_REML",50039,56,9201,4277,TRUE,FALSE,FALSE,0,"",0.00688625732436776,0.12479377459507,0.0890879058251933,0.479851115618853,0.70303084283416,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_9ae1aa9b7fdf","Common Loon","checklist_reporting","lme4_glmer_nAGQ0",217199,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.48588213050292,0.694313429457798,7.73970957873679,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_9ae1aa9b7fdf","Common Loon","conditional_positive_numeric_count","lme4_lmer_REML",15359,56,3457,2117,TRUE,FALSE,FALSE,0,"",0.00260795786743984,0.0386467397386855,0.0815170301812647,0.094175646779712,0.396397714854591,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_a113baee5693","American Wigeon","checklist_reporting","lme4_glmer_nAGQ0",217190,58,29247,22979,TRUE,FALSE,FALSE,0,"",,0.342589313998682,0.395842093304523,7.09965735301947,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_a113baee5693","American Wigeon","conditional_positive_numeric_count","lme4_lmer_REML",34665,56,6758,2933,TRUE,FALSE,FALSE,0,"",0.041125895222649,0.0720641047967463,0.130307212779329,0.644796708832619,1.32586441455213,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_a444854c6b66","Double-crested Cormorant","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.134483112144142,0.596649738296427,6.24706102675851,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_a444854c6b66","Double-crested Cormorant","conditional_positive_numeric_count","lme4_lmer_REML",29011,54,5863,2819,TRUE,FALSE,FALSE,0,"",0.0264609116129577,0.00913942488371191,0.081123429439593,0.20448618499551,0.723801975463147,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_aa5353f6d6d2","Iceland Gull","checklist_reporting","lme4_glmer_nAGQ0",217184,58,29243,22979,TRUE,FALSE,FALSE,0,"",,0.846809671192053,1.7561518846091,4.57612233119424,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_aa5353f6d6d2","Iceland Gull","conditional_positive_numeric_count","lme4_lmer_REML",4317,47,1201,846,TRUE,FALSE,FALSE,0,"",0.0037819700082764,0.239245445107016,0.307775790498877,0.506036401300895,1.6993853015124,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_acf526bb8010","Marbled Murrelet","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.345901712009548,0.979012639554192,11.0185107604174,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_acf526bb8010","Marbled Murrelet","conditional_positive_numeric_count","lme4_lmer_REML",3103,48,999,643,TRUE,FALSE,FALSE,0,"",0.000446239027951378,0.00918304065914574,0.0486321006667579,0.0590110280810635,0.557540643605295,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_b3d3ea90f9cb","Canada Goose","checklist_reporting","lme4_glmer_nAGQ0",217083,58,29230,22972,TRUE,FALSE,FALSE,0,"",,0.672447489842526,0.337539146583843,3.17926591756338,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_b3d3ea90f9cb","Canada Goose","conditional_positive_numeric_count","lme4_lmer_REML",68271,58,11888,6186,TRUE,FALSE,FALSE,0,"",0.0428096973337233,0.0300581137862888,0.0756859022718379,0.485375934614366,1.15358917591931,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c12b832d2b03","California Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.240524065594793,1.10796843200665,4.44825059018917,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c12b832d2b03","California Gull","conditional_positive_numeric_count","lme4_lmer_REML",6644,55,1913,1050,TRUE,FALSE,FALSE,0,"",0.00263782567344606,0.135147088232944,0.204942323623557,0.328041536029715,1.647514193281,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c2d1fbbaf6d3","Red-breasted Merganser","checklist_reporting","lme4_glmer_nAGQ0",217092,58,29240,22974,TRUE,FALSE,FALSE,0,"",,0.924658128162433,0.788502710081521,8.1368089999599,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c2d1fbbaf6d3","Red-breasted Merganser","conditional_positive_numeric_count","lme4_lmer_REML",13364,55,3349,1938,TRUE,FALSE,FALSE,0,"",0.0185031967703253,0.0286706508198399,0.110153218181363,0.171737504443433,0.85943611984138,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c34f23342a55","Pacific Loon","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.43414928814967,1.0603207830843,9.75316762277748,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c34f23342a55","Pacific Loon","conditional_positive_numeric_count","lme4_lmer_REML",6049,50,1728,1053,TRUE,FALSE,FALSE,0,"",0.0889889452082571,0.189624355813986,0.351590838757172,0.21822947297904,1.80231320275202,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c9db024faf12","American Crow","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.05682337905147,0.893932557592066,2.40529249687677,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_c9db024faf12","American Crow","conditional_positive_numeric_count","lme4_lmer_REML",112180,58,15644,11090,TRUE,FALSE,FALSE,0,"",0.486537755932659,0.0751912317800599,0.118061436884363,0.232587073092091,0.718608077029065,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_d002764a39e8","Lesser Scaup","checklist_reporting","lme4_glmer_nAGQ0",216290,58,29119,22938,TRUE,FALSE,FALSE,0,"",,0.273834684320834,0.466844403845562,9.57277255824524,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_d002764a39e8","Lesser Scaup","conditional_positive_numeric_count","lme4_lmer_REML",9378,49,2680,753,TRUE,FALSE,FALSE,0,"",0.00285772330244072,0.189986610434045,0.0991182004929763,0.576228637761822,1.08508953958378,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_d7dd9536145c","Barrow's Goldeneye","checklist_reporting","lme4_glmer_nAGQ0",216814,58,29202,22963,TRUE,FALSE,FALSE,0,"",,0.682202155489457,0.652082739443351,9.57759104484593,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_d7dd9536145c","Barrow's Goldeneye","conditional_positive_numeric_count","lme4_lmer_REML",10960,55,2474,1522,TRUE,FALSE,FALSE,0,"",0.010361909517087,0.103371723243976,0.123507960940694,0.319410897669298,1.23794390385468,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_e0e678a61ad7","Short-billed Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.796327271252951,1.36590303861793,6.80460343425108,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_e0e678a61ad7","Short-billed Gull","conditional_positive_numeric_count","lme4_lmer_REML",22003,57,4526,2458,TRUE,FALSE,FALSE,0,"",0.0498060398967937,0.0980760131930634,0.284994157468185,0.470281415761244,1.632323636629,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_ebf17f77fb66","Western Grebe","checklist_reporting","lme4_glmer_nAGQ0",217186,58,29245,22980,TRUE,FALSE,FALSE,0,"",,0.146190643949287,0.72512526797594,7.7295824299807,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_ebf17f77fb66","Western Grebe","conditional_positive_numeric_count","lme4_lmer_REML",1346,48,639,449,TRUE,FALSE,FALSE,0,"",0.00182536950887879,0.0333373982789707,0.324792498353021,0.432398968107773,1.6155272625762,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_fadb8da1a816","Bonaparte's Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.685730436249765,0.417667248672217,8.2137558312926,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_fadb8da1a816","Bonaparte's Gull","conditional_positive_numeric_count","lme4_lmer_REML",4025,47,1362,741,TRUE,FALSE,FALSE,0,"",0.0276687569567002,0.139061990143883,0.0853157481122431,0.476120776466389,2.09903791970755,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","lme4_glmer_nAGQ0",217199,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.408491229064121,0.358678304736809,1.27366716481225,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","lme4_lmer_REML",83359,58,14529,9421,TRUE,FALSE,FALSE,0,"",0.00646337866783142,0.0262189923787098,0.0413064535985264,0.106124742689314,0.348238432528651,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000002","Black Oystercatcher","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,1.23990710622263,0.230587660909398,11.1391491854542,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000002","Black Oystercatcher","conditional_positive_numeric_count","lme4_lmer_REML",13626,54,3244,1692,TRUE,FALSE,FALSE,0,"",0.0315215038426686,0.0249137568089878,0.0195162485698432,0.116217603858808,0.457051034813205,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000003","Dunlin","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.870736158019534,0.363468426289844,11.473216646387,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000003","Dunlin","conditional_positive_numeric_count","lme4_lmer_REML",5908,43,1859,652,TRUE,FALSE,FALSE,0,"",0.0117434319690801,0.5718090927692,0.0874742627053283,0.600913365981346,2.19477443219771,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000006","Black-bellied Plover","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.999587151536676,0.421439060076569,13.5744960648991,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000006","Black-bellied Plover","conditional_positive_numeric_count","lme4_lmer_REML",3973,35,1218,485,TRUE,FALSE,FALSE,0,"",0.00263784386334009,0.250538036767108,0.0263838825724724,0.202768789546094,1.0042319315245,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000007","Common Raven","checklist_reporting","lme4_glmer_nAGQ0",217200,58,29248,22980,TRUE,FALSE,FALSE,0,"",,0.632540630865043,0.600003864407232,1.39436160382843,,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000007","Common Raven","conditional_positive_numeric_count","lme4_lmer_REML",60940,57,10295,8121,TRUE,FALSE,FALSE,0,"",0.0864404864842072,0.0157541006578807,0.0377927438482355,0.0938092730055614,0.286342287045375,,"completed","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000011","Glaucous Gull","checklist_reporting","lme4_glmer_nAGQ0",217200,,,,FALSE,,,,"Error : Downdated VtV is not positive definite ",,,,,,,"failed_numerical_fit_no_fallback","binary_any_link"
"editorial_requested_analysis_v1","atx_v2_000011","Glaucous Gull","conditional_positive_numeric_count","lme4_lmer_REML",185,,,,FALSE,,,,"failed_insufficient_support",,,,,,,"failed_insufficient_support","binary_any_link"
