"species","outcome","ratio","ratio_conf_low","ratio_conf_high","q_value","n","status"
"American Herring Gull","checklist_reporting",1.40943262054213,1.24883007484032,1.59068903918114,3.30700884148292e-07,217179,"completed"
"American Herring Gull","conditional_positive_numeric_count",1.06640264557059,0.985676790894884,1.15373985974397,0.21886148824248,1851,"completed"
"Great Blue Heron","checklist_reporting",1.01223929698476,0.957646688242582,1.06994406908099,0.859908121667258,217200,"completed"
"Great Blue Heron","conditional_positive_numeric_count",1.01395717052841,0.986725922999828,1.04193993458724,0.478471079248217,50285,"completed"
"Northern Pintail","checklist_reporting",1.1602580655546,1.05550823634467,1.27540338609439,0.0113084568407268,217200,"completed"
"Northern Pintail","conditional_positive_numeric_count",1.05985856972605,0.984077288973693,1.14147557352254,0.238741284575386,14278,"completed"
"Mallard","checklist_reporting",1.00760358389116,0.953631461314242,1.06463033515183,0.865357657928627,217200,"completed"
"Mallard","conditional_positive_numeric_count",1.06203264336956,1.03363116039858,1.09121452486747,5.17854288204178e-05,81526,"completed"
"Common Goldeneye","checklist_reporting",0.989215663640022,0.925851249170646,1.05691668080302,0.864731240964312,216892,"completed"
"Common Goldeneye","conditional_positive_numeric_count",1.18532458866052,1.13862694027166,1.23393741250142,1.15727776132335e-15,21195,"completed"
"Pigeon Guillemot","checklist_reporting",0.981134401455887,0.868801733344897,1.10799124446274,0.864731240964312,217200,"completed"
"Pigeon Guillemot","conditional_positive_numeric_count",1.01379827404457,0.937114922542021,1.0967565617969,0.802519802800934,6342,"completed_with_convergence_warning"
"Red-necked Grebe","checklist_reporting",1.06819965495311,0.974480453670776,1.17093216035654,0.278379570286944,217200,"completed"
"Red-necked Grebe","conditional_positive_numeric_count",1.02932877787266,0.968419493057196,1.09406898617049,0.507217833223438,8109,"completed"
"Harlequin Duck","checklist_reporting",1.1522547811283,1.04834397202701,1.2664651260081,0.0146647844215447,217200,"completed"
"Harlequin Duck","conditional_positive_numeric_count",1.21354143840518,1.15918292484645,1.27044903022668,1.15727776132335e-15,12030,"completed"
"Brandt's Cormorant","checklist_reporting",1.0155232971596,0.868722882889759,1.18713065741215,0.865357657928627,217200,"completed"
"Brandt's Cormorant","conditional_positive_numeric_count",1.05112746224836,0.91412998221797,1.20865627797474,0.593974590563245,2573,"completed"
"Bufflehead","checklist_reporting",0.92934171027456,0.876890162888502,0.984930668638213,0.0438621682369703,217200,"completed"
"Bufflehead","conditional_positive_numeric_count",1.10457059548289,1.07579065926846,1.13412046283715,1.01279485422975e-12,50039,"completed"
"Common Loon","checklist_reporting",0.936582313147842,0.86990610242787,1.00836909507035,0.169353095320394,217199,"completed"
"Common Loon","conditional_positive_numeric_count",1.05448015136143,1.01742023811667,1.09288998582678,0.00986071538232545,15359,"completed"
"American Wigeon","checklist_reporting",1.08767336139834,1.02348582081999,1.15588640021192,0.0276419524137486,217190,"completed"
"American Wigeon","conditional_positive_numeric_count",1.05259834929104,1.00772247483207,1.09947263517652,0.0485508717654426,34665,"completed"
"Double-crested Cormorant","checklist_reporting",1.00727691859879,0.94077848948427,1.07847575394509,0.865357657928627,217200,"completed"
"Double-crested Cormorant","conditional_positive_numeric_count",1.10206970799752,1.05519532151212,1.15102637068676,4.90243034201828e-05,29011,"completed"
"Iceland Gull","checklist_reporting",1.3174815611025,1.20139244465093,1.44478823016854,7.62240397475192e-08,217184,"completed"
"Iceland Gull","conditional_positive_numeric_count",1.23611189392573,1.11694148501748,1.36799701219866,0.000147376187882711,4317,"completed"
"Marbled Murrelet","checklist_reporting",0.958893908585614,0.783184414793999,1.17402429179396,0.859908121667258,217200,"completed"
"Marbled Murrelet","conditional_positive_numeric_count",1.05936148640378,0.914225970183428,1.22753760610242,0.582276108787527,3103,"completed"
"Canada Goose","checklist_reporting",0.977532714652988,0.926674817239078,1.03118180233262,0.600649104926889,217083,"completed"
"Canada Goose","conditional_positive_numeric_count",1.06544333907081,1.02884548590882,1.10334304258293,0.00116120167127872,68271,"completed"
"California Gull","checklist_reporting",1.31367470141827,1.20970062351338,1.42658537790469,2.17212417988989e-09,217200,"completed"
"California Gull","conditional_positive_numeric_count",1.1794360857168,1.08826287299846,1.27824766865214,0.000190803357709899,6644,"completed"
"Red-breasted Merganser","checklist_reporting",0.979218479289999,0.907297378651923,1.05684073683506,0.813470196934854,217092,"completed"
"Red-breasted Merganser","conditional_positive_numeric_count",1.13948003610551,1.07825762143527,1.20417859968816,1.64972820608615e-05,13364,"completed"
"Pacific Loon","checklist_reporting",0.931033834343676,0.840129518879965,1.03177424577143,0.291544437530095,217200,"completed"
"Pacific Loon","conditional_positive_numeric_count",1.17509146009288,1.05327476062754,1.3109968938784,0.00986071538232545,6049,"completed"
"American Crow","checklist_reporting",1.03407592334286,0.984810310062101,1.08580607281616,0.291544437530095,217200,"completed"
"American Crow","conditional_positive_numeric_count",1.01178235984681,0.988576202348096,1.03553326619198,0.478471079248217,112180,"completed"
"Lesser Scaup","checklist_reporting",1.31793300326714,1.1456616651743,1.51610851082852,0.000785422380917748,216290,"completed"
"Lesser Scaup","conditional_positive_numeric_count",0.997534207156611,0.891548131554787,1.11611976878045,0.965639283986088,9378,"completed"
"Barrow's Goldeneye","checklist_reporting",1.03183397211299,0.945639598203553,1.12588490163595,0.693727616900697,216814,"completed"
"Barrow's Goldeneye","conditional_positive_numeric_count",1.02771395066607,0.950848707025539,1.11079287019034,0.593974590563245,10960,"completed"
"Short-billed Gull","checklist_reporting",1.25446748811714,1.17498635809788,1.33932506356115,5.54787783197591e-10,217200,"completed"
"Short-billed Gull","conditional_positive_numeric_count",1.31025631066678,1.23939529353422,1.38516872590877,3.76668824625112e-20,22003,"completed"
"Western Grebe","checklist_reporting",0.77603747810737,0.615147138821027,0.979008320808371,0.0993515320060377,217186,"completed"
"Western Grebe","conditional_positive_numeric_count",1.06498804983096,0.755175258699798,1.5019024169774,0.802519802800934,1346,"completed"
"Bonaparte's Gull","checklist_reporting",1.39986532129412,1.15366322498821,1.69860915674235,0.00400349429035172,217200,"completed"
"Bonaparte's Gull","conditional_positive_numeric_count",1.2510308954487,0.920592530702945,1.70007712334153,0.280345705357951,4025,"completed"
"Bald Eagle","checklist_reporting",1.06447948574811,1.01593446485907,1.11534416320421,0.0304364270798424,217199,"completed"
"Bald Eagle","conditional_positive_numeric_count",1.07866973026152,1.06141375253936,1.09620624775098,5.3058758833799e-19,83359,"completed"
"Black Oystercatcher","checklist_reporting",0.954348136148226,0.878188721727401,1.03711234548547,0.414683349515975,217200,"completed"
"Black Oystercatcher","conditional_positive_numeric_count",0.991994533254588,0.950860405099834,1.03490811977145,0.802519802800934,13626,"completed"
"Dunlin","checklist_reporting",1.01094765405425,0.904632399128153,1.12975741331261,0.865357657928627,217200,"completed"
"Dunlin","conditional_positive_numeric_count",0.985904162604948,0.85786177621634,1.13305784776758,0.879725789191419,5908,"completed"
"Black-bellied Plover","checklist_reporting",0.979247308479549,0.860836310071328,1.11394614742144,0.864731240964312,217200,"completed"
"Black-bellied Plover","conditional_positive_numeric_count",0.960565374201953,0.860873338720727,1.07180208355258,0.593974590563245,3973,"completed"
"Common Raven","checklist_reporting",0.92908357397353,0.885599660932616,0.974702594757551,0.0129001171547601,217200,"completed"
"Common Raven","conditional_positive_numeric_count",0.999060511467767,0.981357922389691,1.0170824352686,0.938326535414707,60940,"completed"
"Glaucous Gull","checklist_reporting",1.45942023468112,1.00382303692507,2.12179571801926,0.120706386489252,217200,"completed"
"Glaucous Gull","conditional_positive_numeric_count",,,,,185,"failed_insufficient_support"
