"analysis_version","analysis_taxon_id","species","outcome","contrast","period_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","status"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",0.15845367582908,0.134394735882541,-0.104955166212473,0.421862517870633,1.17169764504602,0.900364888449487,1.52479887767569,0.23839141394408,0.41718497440214,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",0.0513331993178708,0.129390847966186,-0.202268202624951,0.304934601260693,1.0526735849753,0.816875810323002,1.35653628434239,0.691566756266805,0.788064443187755,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",-0.0837290295094051,0.105659766136236,-0.290818365751352,0.123360306732542,0.919680428591329,0.747651464798012,1.13129195963314,0.428104139355535,0.912047949061791,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",-0.120498437323461,0.124349077879444,-0.364218151477936,0.123221276831015,0.886478472623408,0.69473961973553,1.13113468715644,0.332528414156855,0.82767075383902,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.102113733416433,0.0960621492653353,-0.290392086254001,0.0861646194211351,0.902926852873079,0.747970241227721,1.08998574635949,0.287783515126545,0.705069612060036,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",-0.119285383274549,0.163956789951055,-0.440634786599414,0.202064020050317,0.887554471414297,0.643627725124586,1.22392636143048,0.466894248681714,0.672877005453059,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",0.0112153632317819,0.0933858019491846,-0.17181744525601,0.194248171719574,1.01127849119828,0.842132894491754,1.21439762470921,0.9044062361063,0.995728888072029,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",0.0361358238550617,0.0937662271436169,-0.147642604312629,0.219914252022753,1.03679665864697,0.862739399189629,1.24596988660913,0.699954355698037,0.887553709581999,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",-0.023584835836573,0.0901410882417165,-0.200258122317584,0.153088450644438,0.97669111274644,0.818519447671014,1.16542805724671,0.793596252301171,0.864138141394609,1488,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",-0.130906656065379,0.0928419657615892,-0.312873565211994,0.0510602530812368,0.877299661171383,0.731342373841595,1.05238630089021,0.158541322926821,0.90612521393875,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",-0.221943910897635,0.0874627390672958,-0.393367729458759,-0.0505200923365109,0.800960288218373,0.674780565264908,0.950734825996362,0.0111621074700152,0.105898948365478,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.176425283481507,0.072060588908224,-0.317661442446372,-0.0351891245166414,0.838261408789473,0.727849165538719,0.965422813867789,0.014353571973543,0.175831256675902,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",-0.175450283032718,0.0882735196662587,-0.348463202367173,-0.00243736369826283,0.839079112605261,0.705771885280797,0.997565604260814,0.0468586606159399,0.153071624678737,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",-0.144086207312469,0.0726056941062623,-0.286390752833275,-0.001781661791663,0.865813105420962,0.750969115298011,0.998219924425533,0.0471998100263299,0.123236801407387,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",-0.326705580156075,0.0754623612294891,-0.474609090354225,-0.178802069957925,0.72129607564562,0.622128204853584,0.836271406251731,1.49526639404598e-05,0.000355377657905136,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",-0.152449960837869,0.0663782992438196,-0.282549036710777,-0.0223508849649602,0.858601856598987,0.753859674254128,0.977897045474164,0.0216368174458368,0.070680270323067,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",-0.125466359192739,0.0836836563767764,-0.289483311785846,0.0385505934003688,0.882085437994116,0.74865028644295,1.03930330891627,0.133797516781727,0.671636748702114,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",-0.109596350735309,0.075339356684349,-0.25725877645505,0.0380660749844322,0.896195811076697,0.773168110172809,1.03879986929609,0.145751639387041,0.714183032996502,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.117531354964024,0.0619916700226648,-0.239032795549938,0.00397008562189068,0.889112633214758,0.787389059092038,1.00397797685131,0.0579703936016626,0.427268863174163,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",-0.0500241959626927,0.0795719880882641,-0.205982426793941,0.105934034868555,0.95120640886749,0.813847378064932,1.11174853744924,0.529567803338962,0.682747692115176,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",-0.163342135796206,0.0650260824386542,-0.290790915431701,-0.0358933561607115,0.849300562576478,0.747671988351396,0.96474317191313,0.0120066789349555,0.0294163633906411,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",0.0250886309945916,0.0673335990707166,-0.106882798133473,0.157060060122656,1.02540599925061,0.898630988047743,1.17006588609125,0.709444713781497,0.887553709581999,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",-0.133124018507269,0.0594179750766122,-0.249581109691728,-0.0166669273228108,0.875356524967188,0.779127083508782,0.983471197473774,0.0250606141338125,0.0584747663122291,4549,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",-0.171082427039261,0.0858772405146841,-0.339398725539726,-0.0027661285387966,0.842752105047771,0.712198420768569,0.997237693669698,0.0463519427109143,0.585583468336092,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",-0.108638848616439,0.0847302220957108,-0.274707032326112,0.0574293350932338,0.897054331416655,0.759794685903303,1.05911042607081,0.199781776837984,0.489465353253061,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",-0.13986063782785,0.0700097220707096,-0.2770771716541,-0.00264410400160064,0.869479399493517,0.757995999048294,0.997359388562473,0.0457457605849767,0.373590378110643,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",-0.112591465416054,0.0886504676000287,-0.286343189124745,0.061160258292637,0.893515617593146,0.7510048350236,1.06306926620223,0.204063047423918,0.333302977459066,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",0.0272750331406205,0.0755802999435674,-0.120859632689506,0.175409698970747,1.02765040181713,0.886158338525954,1.19173436895214,0.718192968325039,0.841563713210244,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",0.121225916761102,0.0802342038605505,-0.0360302331338218,0.278482066656025,1.12887991645581,0.964611129824897,1.32112291303191,0.130813746198558,0.33736176651207,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",-0.0100226998078261,0.0681294900648958,-0.143554046620101,0.123508647004449,0.990027360063279,0.866273979741326,1.1314597882376,0.883043221330356,0.961535952115276,217178,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",0.0992564795843073,0.0854599695999195,-0.0682419829514228,0.266754942120037,1.10434950634127,0.934034425821374,1.30572043004059,0.24546371167415,0.758838532145091,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",0.0726522327874963,0.0873188275116843,-0.0984895243076701,0.243793989882663,1.07535649814746,0.906205185691261,1.27608141772644,0.405389756982377,0.82767075383902,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",0.0859543561859018,0.0721370866101598,-0.0554317355196579,0.227340447891461,1.08975658652289,0.946076604893905,1.2552571448516,0.23344094550859,0.63547812944005,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",0.055773023943444,0.0911761063121334,-0.122928860678932,0.23447490856582,1.0573576616256,0.884326570715015,1.26424475032386,0.540731909283177,0.682747692115176,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",0.158876688602244,0.0790084556417068,0.00402296107036826,0.31373041613412,1.17219339296261,1.00403106404059,1.36852075569811,0.0443379122826188,0.0869023080739329,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",-0.00038133077831555,0.088905007087968,-0.174631942716011,0.17386928115938,0.999618741919025,0.839766045906285,1.18990001330357,0.99657772922324,1,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",0.131382378026564,0.071056112417935,-0.00788504319401795,0.270649799247146,1.14040376329221,0.992145962212558,1.31081594126611,0.0644585724083668,0.121479617231153,1684,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",-0.00203570282367902,0.107928756677511,-0.213572178807788,0.20950077316043,0.997966367814008,0.80769385966671,1.23306232846546,0.984951558772749,0.999933431101863,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",0.0123588230707723,0.120263951553634,-0.22335419061282,0.248071836754364,1.01243550891458,0.799831506307432,1.28155199142298,0.918150156665872,0.995910234697689,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",0.00516156012354662,0.091599940299343,-0.174371023849185,0.184694144096278,1.0051749039234,0.83998518529894,1.20285048493782,0.955063827180991,0.997618422710479,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",-0.19311878913351,0.129786236760019,-0.447495138872135,0.061257560605116,0.82438404045665,0.639227323608532,1.06317271033275,0.136757256164114,0.257734828924676,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",-0.143229204802299,0.0977628444571163,-0.334840858964438,0.0483824493598401,0.86655542746614,0.715451935055159,1.04957198670954,0.142902394656407,0.250079190648713,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",0.0947226224352304,0.0990229950080325,-0.0993588814218029,0.288804126292264,1.09935387672983,0.905417712113691,1.33483024477121,0.338783337020846,0.506703618408908,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",-0.156533093957289,0.0879259333889194,-0.328864756706639,0.0157985687920613,0.855103218485256,0.719740350220406,1.01592402599066,0.0750295657786756,0.153185363464796,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",-0.0571257827617487,0.113171424385309,-0.278937698636052,0.164686133112554,0.944475263187788,0.756587038151169,1.17902300435051,0.61371888151779,0.954276229530258,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",0.10006206507093,0.153179915439874,-0.200165052346113,0.400289182487974,1.10523951271571,0.818595630797783,1.49225616960302,0.513606544241403,0.894437474071857,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",0.0214681411545908,0.105928399235905,-0.186147706287764,0.229083988596946,1.02170023962888,0.830150967408044,1.2574476458384,0.839395685045367,1,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",0.25357551488218,0.175202911231565,-0.0898158811182552,0.596966910882615,1.28862468615254,0.914099472751028,1.81660052462805,0.147805982115197,0.362124656182233,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",-0.209998822849146,0.115842613034653,-0.437046172272075,0.0170485265737843,0.810585200150686,0.645941606130496,1.01719468210039,0.0698635611081625,0.122261231939284,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",-0.0362478930256055,0.11880313348383,-0.269097755904417,0.196601969853206,0.964401195518734,0.764068559784179,1.21725943831621,0.76028321520595,0.908631159636379,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",-0.0863789994541255,0.10747184952145,-0.297019953868075,0.124261954959824,0.917246529400972,0.743029185907666,1.13231244701427,0.421549431516804,0.590169204123526,2023,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",0.101873666175919,0.075702001998016,-0.0464995312977719,0.250246863649609,1.1072435805759,0.954565007976612,1.28434243501684,0.178392970026105,0.90612521393875,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_immediate_pre","Immediate pre (-7 to -1 d)",0.0268294752601608,0.0798911194262397,-0.129754241499857,0.183413192020179,1.02719262607261,0.878311256856089,1.20131067753219,0.737002458329584,0.995910234697689,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_pre_14_day","Pre-onset (-14 to -1 d)",0.0643515707180397,0.0632468620606492,-0.0596100010560055,0.188313142492085,1.06646727152492,0.942131892387955,1.20721148538028,0.308931505707128,0.836123145327577,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_spawn_start","Spawn start (0 to 3 d)",0.0304552181614518,0.0874087113801173,-0.140862708078634,0.201773144401538,1.03092372235536,0.86860855644944,1.2235704028284,0.727522422650524,0.847924990497733,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_early_egg","Early egg (4 to 14 d)",0.0538710540802508,0.0784144494276889,-0.0998184426655568,0.207560550826058,1.05534851049669,0.905001712819693,1.23067223280437,0.492080097953203,0.669775688880749,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_late_egg","Late egg (15 to 28 d)",-0.15132708480355,0.084129867395459,-0.31621859492278,0.0135644253156802,0.859566501533767,0.728900098890737,1.01365683950848,0.0720610841280973,0.220687070142298,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","did_active_0_14_day","Active composite (0 to 14 d)",0.0476268311685711,0.068709620330595,-0.0870415500708162,0.182295212407958,1.04877921057909,0.916639008426182,1.19996838715322,0.488208501423879,0.629532014993949,217200,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_early_pre","Early pre (-14 to -8 d)",0.0136925887537779,0.0639295784609323,-0.111607082576477,0.138992260084033,1.01378676157953,0.894395612088679,1.14911520591405,0.830404842248173,0.977395393873099,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_immediate_pre","Immediate pre (-7 to -1 d)",0.0620065142817996,0.0730341682619841,-0.0811378251525275,0.205150853716127,1.06396927570115,0.922066598716913,1.22771025564887,0.395877441474192,0.82767075383902,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_pre_14_day","Pre-onset (-14 to -1 d)",0.0378495515177887,0.0543722396935379,-0.0687180800403246,0.144417183075902,1.0385749690962,0.933589840591571,1.1553660071426,0.486354281038791,0.762487637957128,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_spawn_start","Spawn start (0 to 3 d)",0.0893039364963609,0.0845280525098476,-0.0763680021062509,0.254975875098973,1.09341293392434,0.926475198992861,1.29043048898954,0.290739576035979,0.537865670100376,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_early_egg","Early egg (4 to 14 d)",0.182267243153285,0.0778165454202295,0.0297496167283102,0.33478486957826,1.19993482540115,1.0301965576738,1.39763967806462,0.0191669204937959,0.0447228144855239,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_late_egg","Late egg (15 to 28 d)",0.0424797376367008,0.0791894938637537,-0.112728818290212,0.197688293563614,1.04339491451266,0.893392899083028,1.21858249460937,0.591660377629033,0.878526015267351,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","did_active_0_14_day","Active composite (0 to 14 d)",0.157477028044772,0.0659260864678943,0.0282642729260259,0.286689783163518,1.17055386776179,1.02866749747289,1.33201093715727,0.0169085317192523,0.0439530414234588,4421,"completed"
"post_stage4a_staged_refit_v1_s2_detectability","atx_1812dd827ede","Surfbird","checklist_reporting","did_early_pre","Early pre (-14 to -8 d)",-0.249959400671741,0.209166090909916,-0.659917405642207,0.159998604298725,0.778832402501905,0.51689402525873,1.17350923312233,0.232075968446697,0.90612521393875,217200,"completed"
