"grid_version","dimension","candidate_id","candidate_label","design_role","parameters_json","acceptance_rule","selection_guard"
"stage2_v1","count_state","x_detection_only","x detection only","registered_sensitivity","{""allowed_states"":""X"",""numeric_imputation"":false}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","count_state","zero_inclusive_numeric","zero inclusive numeric","registered_sensitivity","{""zero_fill_complete_checklists"":true,""X_as_zero"":false,""ambiguity_as_zero"":false}","detection and positive-count components remain separate","outcome_blind_support_only"
"stage2_v1","distance","continuous_0_20km","Continuous distance 0 to 20 km","core_continuous","{""type"":""continuous"",""lower_km"":0,""upper_km"":20}","prediction prohibited outside observed metadata support","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_0p5km","Cumulative 0 to 0.5 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":0.5}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_10km","Cumulative 0 to 10.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":10}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_1km","Cumulative 0 to 1.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":1}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_20km","Cumulative 0 to 20.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":20}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_2km","Cumulative 0 to 2.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":2}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_3km","Cumulative 0 to 3.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":3}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_4km","Cumulative 0 to 4.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":4}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","cumulative_0_5km","Cumulative 0 to 5.0 km buffer","nested_buffer_sensitivity","{""type"":""cumulative_buffer"",""lower_km"":0,""upper_km"":5}","nested buffers are sensitivities and never independent samples","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_0p5km","Additive kernel scale 0.5 km","kernel_sensitivity","{""type"":""additive_multi_event_kernel"",""scale_km"":0.5,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_10km","Additive kernel scale 10.0 km","kernel_sensitivity","{""type"":""additive_multi_event_kernel"",""scale_km"":10,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_1km","Additive kernel scale 1.0 km","kernel_sensitivity","{""type"":""additive_multi_event_kernel"",""scale_km"":1,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_2km","Additive kernel scale 2.0 km","candidate_primary_kernel","{""type"":""additive_multi_event_kernel"",""scale_km"":2,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_3km","Additive kernel scale 3.0 km","kernel_sensitivity","{""type"":""additive_multi_event_kernel"",""scale_km"":3,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","kernel_scale_5km","Additive kernel scale 5.0 km","kernel_sensitivity","{""type"":""additive_multi_event_kernel"",""scale_km"":5,""spatial_families"":[""exponential"",""gaussian""]}","all concurrent events contribute; links are not independent checklist rows","outcome_blind_support_only"
"stage2_v1","distance","ring_0_0p5km","Non-overlapping 0.0 to 0.5 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":0,""upper_km"":0.5,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_0p5_1km","Non-overlapping 0.5 to 1.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":0.5,""upper_km"":1,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_10_20km","Non-overlapping 10.0 to 20.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":10,""upper_km"":20,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_1_2km","Non-overlapping 1.0 to 2.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":1,""upper_km"":2,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_2_3km","Non-overlapping 2.0 to 3.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":2,""upper_km"":3,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_3_4km","Non-overlapping 3.0 to 4.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":3,""upper_km"":4,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_4_5km","Non-overlapping 4.0 to 5.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":4,""upper_km"":5,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","distance","ring_5_10km","Non-overlapping 5.0 to 10.0 km ring","core_ring","{""type"":""non_overlapping_ring"",""lower_km"":5,""upper_km"":10,""left_closed"":true,""right_closed"":false}","support must be represented without nested-ring duplication","outcome_blind_support_only"
"stage2_v1","event_complex","complex_1km_3d","complex 1km 3d","candidate_fallback_primary","{""distance_km"":1,""interval_gap_days"":3,""region_crossing_allowed"":false,""statistical_area_crossing"":""flag"",""manual_review_days"":21,""manual_review_diameter_km"":25}","retain immutable source identity and all alternative complex crosswalks","outcome_blind_support_only"
"stage2_v1","event_complex","complex_2km_7d","complex 2km 7d","candidate_primary_not_approved","{""distance_km"":2,""interval_gap_days"":7,""region_crossing_allowed"":false,""statistical_area_crossing"":""flag"",""manual_review_days"":21,""manual_review_diameter_km"":25}","retain immutable source identity and all alternative complex crosswalks","outcome_blind_support_only"
"stage2_v1","event_complex","complex_5km_14d","complex 5km 14d","broad_sensitivity","{""distance_km"":5,""interval_gap_days"":14,""region_crossing_allowed"":false,""statistical_area_crossing"":""flag"",""manual_review_days"":21,""manual_review_diameter_km"":25}","retain immutable source identity and all alternative complex crosswalks","outcome_blind_support_only"
"stage2_v1","event_complex","source_record","source record","parallel_core_identity","{""distance_km"":0,""interval_gap_days"":0,""region_crossing_allowed"":false,""statistical_area_crossing"":""flag"",""manual_review_days"":21,""manual_review_diameter_km"":25}","retain immutable source identity and all alternative complex crosswalks","outcome_blind_support_only"
"stage2_v1","event_date_representation","event_date_end","Event date represented by end","timing_sensitivity","{""representation"":""end""}","requires at least one valid source date; reversed dates remain flagged","outcome_blind_support_only"
"stage2_v1","event_date_representation","event_date_interval","Event date represented by interval","candidate_primary_uncertainty","{""representation"":""interval""}","requires at least one valid source date; reversed dates remain flagged","outcome_blind_support_only"
"stage2_v1","event_date_representation","event_date_jitter_ready","Event date represented by jitter_ready","timing_sensitivity","{""representation"":""jitter_ready""}","requires at least one valid source date; reversed dates remain flagged","outcome_blind_support_only"
"stage2_v1","event_date_representation","event_date_midpoint","Event date represented by midpoint","timing_sensitivity","{""representation"":""midpoint""}","requires at least one valid source date; reversed dates remain flagged","outcome_blind_support_only"
"stage2_v1","event_date_representation","event_date_start","Event date represented by start","timing_sensitivity","{""representation"":""start""}","requires at least one valid source date; reversed dates remain flagged","outcome_blind_support_only"
"stage2_v1","geometry","derived_alongshore_length","Length-informed alongshore footprint","parallel_core_geometry","{""metric_crs"":3005,""preserve_source_geometry"":true,""infer_missing_extent"":false,""section_polygon_is_event_footprint"":false}","construction failures and shoreline snap distance must be retained","outcome_blind_support_only"
"stage2_v1","geometry","derived_alongshore_length_width","Length-plus-width footprint","geometry_sensitivity","{""metric_crs"":3005,""preserve_source_geometry"":true,""infer_missing_extent"":false,""section_polygon_is_event_footprint"":false}","construction failures and shoreline snap distance must be retained","outcome_blind_support_only"
"stage2_v1","geometry","event_complex_member_union","Event-complex union of member geometries","complex_sensitivity","{""metric_crs"":3005,""preserve_source_geometry"":true,""infer_missing_extent"":false,""section_polygon_is_event_footprint"":false}","construction failures and shoreline snap distance must be retained","outcome_blind_support_only"
"stage2_v1","geometry","nearest_marine_shoreline_point","Nearest approved marine shoreline point","candidate_linkage_geometry","{""metric_crs"":3005,""preserve_source_geometry"":true,""infer_missing_extent"":false,""section_polygon_is_event_footprint"":false}","construction failures and shoreline snap distance must be retained","outcome_blind_support_only"
"stage2_v1","geometry","source_point","Authoritative source point","parallel_core_geometry","{""metric_crs"":3005,""preserve_source_geometry"":true,""infer_missing_extent"":false,""section_polygon_is_event_footprint"":false}","construction failures and shoreline snap distance must be retained","outcome_blind_support_only"
"stage2_v1","protocol_effort","broad_primary","broad primary","candidate_primary","{""protocols"":[""Stationary"",""Traveling""],""complete"":true,""duration"":[1,360],""travel_km"":10,""observers"":[1,20],""start_time_required"":false}","missing required effort fields exclude only that effort-defined cell and are audited","outcome_blind_support_only"
"stage2_v1","protocol_effort","complete_area_separate","complete area separate","sensitivity_or_separate","{""protocols"":""Area"",""complete"":true,""duration"":[1,360],""travel_km"":""NA"",""observers"":[1,20],""pooled_with_stationary_traveling"":false}","missing required effort fields exclude only that effort-defined cell and are audited","outcome_blind_support_only"
"stage2_v1","protocol_effort","standardized_sensitivity","standardized sensitivity","sensitivity_or_separate","{""protocols"":[""Stationary"",""Traveling""],""complete"":true,""duration"":[5,300],""travel_km"":5,""observers"":[1,10],""start_time_required"":false}","missing required effort fields exclude only that effort-defined cell and are audited","outcome_blind_support_only"
"stage2_v1","region_period","A27__period_1988_2025","A27 period_1988_2025","long_window_sensitivity","{""region"":""A27"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A27__period_2005_2025","A27 period_2005_2025","candidate_earliest_primary","{""region"":""A27"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A27__period_2010_2025","A27 period_2010_2025","candidate_primary","{""region"":""A27"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A27__period_2015_2025","A27 period_2015_2025","recent_sensitivity","{""region"":""A27"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A2W__period_1988_2025","A2W period_1988_2025","long_window_sensitivity","{""region"":""A2W"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A2W__period_2005_2025","A2W period_2005_2025","candidate_earliest_primary","{""region"":""A2W"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A2W__period_2010_2025","A2W period_2010_2025","candidate_primary","{""region"":""A2W"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","A2W__period_2015_2025","A2W period_2015_2025","recent_sensitivity","{""region"":""A2W"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","ALL_BC_HIERARCHICAL__period_1988_2025","ALL_BC_HIERARCHICAL period_1988_2025","long_window_sensitivity","{""region"":""ALL_BC_HIERARCHICAL"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","ALL_BC_HIERARCHICAL__period_2005_2025","ALL_BC_HIERARCHICAL period_2005_2025","candidate_earliest_primary","{""region"":""ALL_BC_HIERARCHICAL"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","ALL_BC_HIERARCHICAL__period_2010_2025","ALL_BC_HIERARCHICAL period_2010_2025","candidate_primary","{""region"":""ALL_BC_HIERARCHICAL"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","ALL_BC_HIERARCHICAL__period_2015_2025","ALL_BC_HIERARCHICAL period_2015_2025","recent_sensitivity","{""region"":""ALL_BC_HIERARCHICAL"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","CC__period_1988_2025","CC period_1988_2025","long_window_sensitivity","{""region"":""CC"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","CC__period_2005_2025","CC period_2005_2025","candidate_earliest_primary","{""region"":""CC"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","CC__period_2010_2025","CC period_2010_2025","candidate_primary","{""region"":""CC"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","CC__period_2015_2025","CC period_2015_2025","recent_sensitivity","{""region"":""CC"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","HG__period_1988_2025","HG period_1988_2025","long_window_sensitivity","{""region"":""HG"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","HG__period_2005_2025","HG period_2005_2025","candidate_earliest_primary","{""region"":""HG"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","HG__period_2010_2025","HG period_2010_2025","candidate_primary","{""region"":""HG"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","HG__period_2015_2025","HG period_2015_2025","recent_sensitivity","{""region"":""HG"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","NA__period_1988_2025","NA period_1988_2025","long_window_sensitivity","{""region"":""NA"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","NA__period_2005_2025","NA period_2005_2025","candidate_earliest_primary","{""region"":""NA"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","NA__period_2010_2025","NA period_2010_2025","candidate_primary","{""region"":""NA"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","NA__period_2015_2025","NA period_2015_2025","recent_sensitivity","{""region"":""NA"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","PRD__period_1988_2025","PRD period_1988_2025","long_window_sensitivity","{""region"":""PRD"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","PRD__period_2005_2025","PRD period_2005_2025","candidate_earliest_primary","{""region"":""PRD"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","PRD__period_2010_2025","PRD period_2010_2025","candidate_primary","{""region"":""PRD"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","PRD__period_2015_2025","PRD period_2015_2025","recent_sensitivity","{""region"":""PRD"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","SoG__period_1988_2025","SoG period_1988_2025","long_window_sensitivity","{""region"":""SoG"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","SoG__period_2005_2025","SoG period_2005_2025","candidate_earliest_primary","{""region"":""SoG"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","SoG__period_2010_2025","SoG period_2010_2025","candidate_primary","{""region"":""SoG"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","SoG__period_2015_2025","SoG period_2015_2025","recent_sensitivity","{""region"":""SoG"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","WCVI__period_1988_2025","WCVI period_1988_2025","long_window_sensitivity","{""region"":""WCVI"",""start_year"":1988,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","WCVI__period_2005_2025","WCVI period_2005_2025","candidate_earliest_primary","{""region"":""WCVI"",""start_year"":2005,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","WCVI__period_2010_2025","WCVI period_2010_2025","candidate_primary","{""region"":""WCVI"",""start_year"":2010,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","region_period","WCVI__period_2015_2025","WCVI period_2015_2025","recent_sensitivity","{""region"":""WCVI"",""start_year"":2015,""end_year"":2025,""coastwide_effect_forced"":false}","earliest primary period chosen only by response-free checklist and event coverage","outcome_blind_support_only"
"stage2_v1","species_guild_eligibility","falsification_panel","falsification panel","prespecified_support_class","{""taxa"":[""Gadwall"",""Northern Shoveler""],""exchangeable_control"":false,""triple_difference_authorized"":false}","support class retained for all 58 taxa; no taxon deleted for sparsity","outcome_blind_support_only"
"stage2_v1","species_guild_eligibility","guild_community_only","guild community only","prespecified_support_class","{""detections"":25,""events"":10,""years"":3,""valid_taxonomy"":true,""unambiguous_primary_guild"":true}","support class retained for all 58 taxa; no taxon deleted for sparsity","outcome_blind_support_only"
"stage2_v1","species_guild_eligibility","named_species_core","named species core","candidate_primary","{""detections"":200,""events"":50,""years"":8,""regions"":2,""per_primary_period"":50,""max_event_share"":0.2,""max_observer_share"":0.2,""max_location_share"":0.2,""positive_numeric"":100,""positive_events"":40,""numeric_availability"":0.8}","support class retained for all 58 taxa; no taxon deleted for sparsity","outcome_blind_support_only"
"stage2_v1","species_guild_eligibility","named_species_exploratory","named species exploratory","prespecified_support_class","{""detections"":75,""events"":25,""years"":5,""per_primary_period"":20,""max_event_share"":0.3}","support class retained for all 58 taxa; no taxon deleted for sparsity","outcome_blind_support_only"
"stage2_v1","temporal_window","continuous_m60_p90","Continuous event time -60 to +90 days","core_continuous","{""start_day"":-60,""end_day"":90}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","continuous_m90_p120","Continuous event time -90 to +120 days","long_window_sensitivity","{""start_day"":-90,""end_day"":120}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","egg_kernel_07d","Egg-availability kernel 7 days","kernel_sensitivity","{""pre_days"":0,""duration_days"":7,""shape"":""registered_kernel_family""}","retain as prespecified timing sensitivity without consulting response direction","outcome_blind_support_only"
"stage2_v1","temporal_window","egg_kernel_14d","Egg-availability kernel 14 days","candidate_primary_kernel","{""pre_days"":0,""duration_days"":14,""shape"":""registered_kernel_family""}","retain as prespecified timing sensitivity without consulting response direction","outcome_blind_support_only"
"stage2_v1","temporal_window","egg_kernel_21d","Egg-availability kernel 21 days","kernel_sensitivity","{""pre_days"":0,""duration_days"":21,""shape"":""registered_kernel_family""}","retain as prespecified timing sensitivity without consulting response direction","outcome_blind_support_only"
"stage2_v1","temporal_window","egg_kernel_28d","Egg-availability kernel 28 days","kernel_sensitivity","{""pre_days"":0,""duration_days"":28,""shape"":""registered_kernel_family""}","retain as prespecified timing sensitivity without consulting response direction","outcome_blind_support_only"
"stage2_v1","temporal_window","egg_kernel_42d","Egg-availability kernel 42 days","kernel_sensitivity","{""pre_days"":0,""duration_days"":42,""shape"":""registered_kernel_family""}","retain as prespecified timing sensitivity without consulting response direction","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_early_egg","Early egg","core_phase","{""start_day"":4,""end_day"":14}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_early_pre","Early pre","core_phase","{""start_day"":-42,""end_day"":-29}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_immediate_pre","Immediate pre","core_phase","{""start_day"":-28,""end_day"":-1}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_late_egg","Late egg or hatch","core_phase","{""start_day"":15,""end_day"":28}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_post","Post","core_phase","{""start_day"":29,""end_day"":56}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
"stage2_v1","temporal_window","phase_spawn_start","Spawn start","core_phase","{""start_day"":0,""end_day"":3}","retain only where metadata-only event-time support is nonempty","outcome_blind_support_only"
