"pooling_family_id_v2","canonical_model_id","model_architecture","component_estimand_id","response_state","unit_class","effect_scale","exposure_definition","temporal_window","spatial_buffer","analysis_population","adjustment_set","component_role","coefficient_meaning","variance_meaning","allowed_pooling_axis","component_count","pooling_axis_count","estimability_status","estimator_contract_version"
"pf2_0e46a79baf4a1d390075cc15","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_1_2","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_116f1742ffece8f0354cce09","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_5_10","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_11a346bf6983871e6efdffb7","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0_0p5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_11eec9a5d2b25927915a96bc","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0p5_1","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_13b175cee92773925d0b5d7e","M08","registered_near_reference_mass_balance_hurdle_gamm","E07","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","active_near_vs_contemporaneous_reference","registered_contemporaneous_reference_window","candidate_primary_5km_near_and_registered_reference","CC_1988_hierarchical_descriptive","registered_stage4a_mass_balance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",37,37,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_13dbdf27d4f9b30359c872b0","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_14b77668b36fcb5b883340d2","M02","registered_species_hurdle_gamm","E02","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","active_near_candidate_primary_5km","registered_active_spawn_window","candidate_primary_5km","SoG_2005_primary","registered_stage4a_core_hurdle_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_14be15f4b664377ae7f15f84","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",7,7,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_176e567f26499122540dc51f","M08","registered_near_reference_mass_balance_hurdle_gamm","E07","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","active_near_vs_contemporaneous_reference","registered_contemporaneous_reference_window","candidate_primary_5km_near_and_registered_reference","NA_1988_hierarchical_descriptive","registered_stage4a_mass_balance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_18e8792fef6590de61d3a747","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0p5_1","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",7,7,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_19b881da356f16e13733bf10","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","WCVI_2015_candidate_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",47,47,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_1b38716752eeaead99223fb8","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",38,38,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_1d8717f687879a65296448c8","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0p5_1","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_22b68febbb83c1b320fa3fa7","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","WCVI_2015_candidate_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_22ef33bc4f98e4ed0be3e6cb","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0_0p5","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",47,47,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_248c5dfa49212c3863ab6809","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_2528e021f2372b8b1771c83a","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",38,38,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_2ca064e26141c30bca25f6e5","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_2cac3bf0cb6224729fa8d53e","M08","registered_near_reference_mass_balance_hurdle_gamm","E07","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","active_near_vs_contemporaneous_reference","registered_contemporaneous_reference_window","candidate_primary_5km_near_and_registered_reference","WCVI_2015_candidate_primary","registered_stage4a_mass_balance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",48,48,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_2f067f150944351215dcccee","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","registered_source_point_distance_rings_adjusted","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",40,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_2f626e359979c71cef767b41","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0_0p5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_31248e373a92634d6676c6c3","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_315560806f499b6ab8dad622","M08","registered_near_reference_mass_balance_hurdle_gamm","E07","detection","guild","log_odds","active_near_vs_contemporaneous_reference","registered_contemporaneous_reference_window","candidate_primary_5km_near_and_registered_reference","SoG_2005_primary","registered_stage4a_mass_balance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_35d72b1983a7a1c3b64139ce","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_3_4","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",48,48,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3620b62ee87e254eecff21d1","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_36e1bff0b90bbf366a916df1","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","registered_source_point_distance_rings_adjusted","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",245,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_38000bc4eff0e700c84ed823","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_38658003becfe61d526b3aa0","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3905a97b179dceb853c21f09","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_3_4","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_39e1022bdf10cddcaee2ceef","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_1_2","WCVI_2015_candidate_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3ad47b92ddd587d639f854a9","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",48,48,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3d1f8d96694353d12734a79d","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_5_10","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",47,47,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3d22832d8f9ad257a2846dea","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0_0p5","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",7,7,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3d8f9f20afe8b329ff5656eb","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0p5_1","WCVI_2015_candidate_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_3f38436741c7339c717c4fc5","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_2_3","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_440ab72a650d04c21f6d8931","M05","registered_event_time_distance_hurdle_gamm","E06","detection","species","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_44f8789dfb92ad4f3b6199b1","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_5_10","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_4b64abd9ea661f9fc035b3c0","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_0_0p5","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_4b7dbeea1e40b275db2bc950","M08","registered_near_reference_mass_balance_hurdle_gamm","E07","detection","species","log_odds","active_near_vs_contemporaneous_reference","registered_contemporaneous_reference_window","candidate_primary_5km_near_and_registered_reference","SoG_2005_primary","registered_stage4a_mass_balance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_4cbeb8a0bf99e42c46d46736","M05","registered_event_time_distance_hurdle_gamm","E06","detection","guild","log_odds","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_4_5","NA_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_detection_component","registered_exposure_coefficient_on_binomial_logit_scale","registered_model_coefficient_sampling_variance","stable_unit_id",8,8,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_4edf7476b9bc359016605161","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","species","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","distance_ring_5_10","SoG_2005_primary","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",49,49,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
"pf2_4f37f41a699ca7511e403104","M05","registered_event_time_distance_hurdle_gamm","E06","positive_numeric_count_given_detection","guild","log_expected_positive_numeric_count","event_time_by_source_point_distance","all_registered_event_time_strata_adjusted","registered_source_point_distance_rings_adjusted","CC_1988_hierarchical_descriptive","registered_stage4a_event_time_distance_adjustment_set","hurdle_positive_count_component","registered_exposure_coefficient_on_positive_lognormal_log_scale","registered_model_coefficient_sampling_variance","stable_unit_id",35,7,"ELIGIBLE_MINIMUM_COMPONENT_COUNT","stage4a_aggregate_pooling_repair_spec_v2"
