common_name,scientific_name,legacy_analysis_taxon_id,guild_id,priority_tier,evidence_basis,expected_peak,expected_direction,species_detection_model,species_count_model,guild_model,taxonomy_status,initial_status
American Crow,Corvus brachyrhynchos,atx_c9db024faf12,shoreline_scavengers_raptors,C,plausible scavenging,active through post,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
California Gull,Larus californicus,atx_c12b832d2b03,gull_roe_scavengers,B,diet/plausible,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
American Herring Gull,Larus smithsonianus,atx_7571c026ae99,gull_roe_scavengers,B,diet/taxonomy limited,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Western Gull,Larus occidentalis,atx_5a9a3495d0ea,gull_roe_scavengers,C,shared mechanism,spawn through eggs,positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Iceland Gull,Larus glaucoides,atx_aa5353f6d6d2,gull_roe_scavengers,C,shared mechanism/taxonomy,spawn through eggs,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Bonaparte's Gull,Chroicocephalus philadelphia,atx_fadb8da1a816,gull_roe_scavengers,B,shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Ring-billed Gull,Larus delawarensis,atx_08bb40b40c0a,gull_roe_scavengers,B,shared mechanism,spawn through eggs,positive,yes,yes,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Surfbird,Calidris virgata,atx_1812dd827ede,intertidal_roe_foragers,C,plausible intertidal mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Black Turnstone,Arenaria melanocephala,atx_15dd5efcd8d6,intertidal_roe_foragers,C,plausible intertidal mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Canada Goose,Branta canadensis,atx_b3d3ea90f9cb,surface_vegetation_roe,C,shared vegetation mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Mallard,Anas platyrhynchos,atx_815c98107028,surface_vegetation_roe,C,shared vegetation mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
American Wigeon,Mareca americana,atx_a113baee5693,surface_vegetation_roe,C,shared vegetation mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Northern Pintail,Anas acuta,atx_7d980a7c8c37,surface_vegetation_roe,C,shared vegetation mechanism,egg window,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Pigeon Guillemot,Cepphus columba,atx_8608f2ed61cf,alcid_piscivores,C,plausible piscivore,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Rhinoceros Auklet,Cerorhinca monocerata,atx_6cbe5bbd310c,alcid_piscivores,C,plausible piscivore,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Common Murre,Uria aalge,atx_136b0e66254b,alcid_piscivores,C,plausible piscivore,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Marbled Murrelet,Brachyramphus marmoratus,atx_acf526bb8010,alcid_piscivores,C,plausible piscivore,active spawn,exploratory positive,screen_by_support,screen_by_support,yes,reuse_legacy_crosswalk_then_validate_v2025,candidate
Gadwall,Mareca strepera,atx_eeefc021901e,falsification_panel,F,no strong direct mechanism,same windows,no prespecified biological effect,screen_by_support,screen_by_support,separate_falsification_only,reuse_legacy_crosswalk_then_validate_v2025,candidate
Northern Shoveler,Spatula clypeata,atx_8f0345249398,falsification_panel,F,no strong direct mechanism,same windows,no prespecified biological effect,screen_by_support,screen_by_support,separate_falsification_only,reuse_legacy_crosswalk_then_validate_v2025,candidate
Hooded Merganser,Lophodytes cucullatus,,active_spawn_piscivores,C,candidate; existing high checklist support but weaker marine mechanism,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Clark's Grebe,Aechmophorus clarkii,,active_spawn_piscivores,C,candidate; sparse named-species support; pooled Aechmophorus sensitivity,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Eared Grebe,Podiceps nigricollis,,active_spawn_piscivores,C,candidate shared mechanism,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Black Oystercatcher,Haematopus bachmani,,intertidal_roe_foragers,C,candidate intertidal mechanism,egg window,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Dunlin,Calidris alpina,,intertidal_roe_foragers,C,candidate intertidal mechanism,egg window,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Sanderling,Calidris alba,,intertidal_roe_foragers,C,candidate intertidal mechanism,egg window,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Rock Sandpiper,Calidris ptilocnemis,,intertidal_roe_foragers,C,candidate intertidal mechanism,egg window,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Black-bellied Plover,Pluvialis squatarola,,intertidal_roe_foragers,C,candidate intertidal mechanism,egg window,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Common Raven,Corvus corax,,shoreline_scavengers_raptors,C,candidate scavenger,active through post,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Osprey,Pandion haliaetus,,shoreline_scavengers_raptors,C,candidate piscivorous raptor,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Caspian Tern,Hydroprogne caspia,,active_spawn_piscivores,C,candidate piscivore,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Common Tern,Sterna hirundo,,active_spawn_piscivores,C,candidate piscivore,active spawn,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
Glaucous Gull,Larus hyperboreus,,gull_roe_scavengers,C,candidate gull guild,spawn through eggs,exploratory,screen_by_support,screen_by_support,yes,requires_taxonomy_and_support_audit,candidate
