"analysis_taxon_id","common_name","scientific_name","ebird_taxon_code","taxonomy_version","exact_species_concept_reconciled","frozen_taxonomy_disposition","frozen_named_disposition","frozen_guild_disposition","frozen_community_disposition","frozen_count_disposition","denominator_included","denominator_inclusion_basis","registry_approval_status","source_taxon_concept_id","source_category","source_common_name","source_scientific_name","source_mapping_treatment","source_mapping_decision","production_ambiguity_mask_rules"
"atx_725074cbfcb6","Glaucous-winged Gull","Larus glaucescens","glwgul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-03AC32BA","species","Glaucous-winged Gull","Larus glaucescens","candidate_identity","approved_current_species_identity","2"
"atx_7571c026ae99","American Herring Gull","Larus smithsonianus","hergul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-60F32AF8","species","American Herring Gull","Larus smithsonianus","candidate_identity","approved_current_species_identity","3"
"atx_7b80ddaff058","Great Blue Heron","Ardea herodias","grbher3","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-93694BB5","species","Great Blue Heron","Ardea herodias","candidate_identity","approved_current_species_identity","0"
"atx_7d980a7c8c37","Northern Pintail","Anas acuta","norpin","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-56CCA717","species","Northern Pintail","Anas acuta","candidate_identity","approved_current_species_identity","0"
"atx_815c98107028","Mallard","Anas platyrhynchos","mallar3","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-85625D75","species","Mallard","Anas platyrhynchos","candidate_identity","approved_current_species_identity","1"
"atx_82312e6f2848","Common Goldeneye","Bucephala clangula","comgol","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-68EA281A","species","Common Goldeneye","Bucephala clangula","candidate_identity","approved_current_species_identity","1"
"atx_8608f2ed61cf","Pigeon Guillemot","Cepphus columba","piggui","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-2F5DF476","species","Pigeon Guillemot","Cepphus columba","candidate_identity","approved_current_species_identity","0"
"atx_86eda7ed9025","Red-necked Grebe","Podiceps grisegena","rengre","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-1CBD2CED","species","Red-necked Grebe","Podiceps grisegena","candidate_identity","approved_current_species_identity","0"
"atx_87b306550dba","Harlequin Duck","Histrionicus histrionicus","harduc","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-BCBD2EAE","species","Harlequin Duck","Histrionicus histrionicus","candidate_identity","approved_current_species_identity","0"
"atx_8f0345249398","Northern Shoveler","Spatula clypeata","norsho","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","separate_falsification_panel","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-ED4CE8E7","species","Northern Shoveler","Spatula clypeata","candidate_identity","approved_current_species_identity","0"
"atx_98ca0000b734","Brandt's Cormorant","Urile penicillatus","bracor","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-987A703D","species","Brandt's Cormorant","Urile penicillatus","candidate_identity","approved_current_species_identity","0"
"atx_99238953638b","Bufflehead","Bucephala albeola","buffle","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-FB738385","species","Bufflehead","Bucephala albeola","candidate_identity","approved_current_species_identity","0"
"atx_9ae1aa9b7fdf","Common Loon","Gavia immer","comloo","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-7E022378","species","Common Loon","Gavia immer","candidate_identity","approved_current_species_identity","1"
"atx_a113baee5693","American Wigeon","Mareca americana","amewig","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-D201EB72","species","American Wigeon","Mareca americana","candidate_identity","approved_current_species_identity","1"
"atx_a444854c6b66","Double-crested Cormorant","Nannopterum auritum","doccor","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-3AC46C54","species","Double-crested Cormorant","Nannopterum auritum","candidate_identity","approved_current_species_identity","0"
"atx_aa5353f6d6d2","Iceland Gull","Larus glaucoides","y00478","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-FB4FCB27","species","Iceland Gull","Larus glaucoides","candidate_identity","approved_current_species_identity","1"
"atx_acf526bb8010","Marbled Murrelet","Brachyramphus marmoratus","marmur","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-31557374","species","Marbled Murrelet","Brachyramphus marmoratus","candidate_identity","approved_current_species_identity","0"
"atx_b3d3ea90f9cb","Canada Goose","Branta canadensis","cangoo","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-B59E1863","species","Canada Goose","Branta canadensis","candidate_identity","approved_current_species_identity","2"
"atx_c12b832d2b03","California Gull","Larus californicus","calgul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-7FCE8A43","species","California Gull","Larus californicus","candidate_identity","approved_current_species_identity","0"
"atx_c2d1fbbaf6d3","Red-breasted Merganser","Mergus serrator","rebmer","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-8DB64266","species","Red-breasted Merganser","Mergus serrator","candidate_identity","approved_current_species_identity","1"
"atx_c34f23342a55","Pacific Loon","Gavia pacifica","pacloo","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-B7D7EF23","species","Pacific Loon","Gavia pacifica","candidate_identity","approved_current_species_identity","0"
"atx_c9db024faf12","American Crow","Corvus brachyrhynchos","amecro","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-69544B59","species","American Crow","Corvus brachyrhynchos","candidate_identity","approved_current_species_identity","0"
"atx_d002764a39e8","Lesser Scaup","Aythya affinis","lessca","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-50566E50","species","Lesser Scaup","Aythya affinis","candidate_identity","approved_current_species_identity","1"
"atx_d7dd9536145c","Barrow's Goldeneye","Bucephala islandica","bargol","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-9456DEDF","species","Barrow's Goldeneye","Bucephala islandica","candidate_identity","approved_current_species_identity","1"
"atx_e0e678a61ad7","Short-billed Gull","Larus brachyrhynchus","mewgul2","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-342F6965","species","Short-billed Gull","Larus brachyrhynchus","candidate_identity","approved_current_species_identity","1"
"atx_ebf17f77fb66","Western Grebe","Aechmophorus occidentalis","wesgre","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-C6E1197B","species","Western Grebe","Aechmophorus occidentalis","candidate_identity","approved_current_species_identity","1"
"atx_eeefc021901e","Gadwall","Mareca strepera","gadwal","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","separate_falsification_panel","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-C235A4D7","species","Gadwall","Mareca strepera","candidate_identity","approved_current_species_identity","0"
"atx_fadb8da1a816","Bonaparte's Gull","Chroicocephalus philadelphia","bongul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-0337440E","species","Bonaparte's Gull","Chroicocephalus philadelphia","candidate_identity","approved_current_species_identity","0"
"atx_fc0a9b777dcd","Bald Eagle","Haliaeetus leucocephalus","baleag","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-FED3756C","species","Bald Eagle","Haliaeetus leucocephalus","candidate_identity","approved_current_species_identity","1"
"atx_v2_000001","Eared Grebe","Podiceps nigricollis","eargre","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-32DCEC14","species","Eared Grebe","Podiceps nigricollis","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000002","Black Oystercatcher","Haematopus bachmani","blkoys","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-BD49DB46","species","Black Oystercatcher","Haematopus bachmani","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000003","Dunlin","Calidris alpina","dunlin","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-15369E8E","species","Dunlin","Calidris alpina","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000004","Sanderling","Calidris alba","sander","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-06B9BD24","species","Sanderling","Calidris alba","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000005","Rock Sandpiper","Calidris ptilocnemis","rocsan","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-C5971E25","species","Rock Sandpiper","Calidris ptilocnemis","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000006","Black-bellied Plover","Pluvialis squatarola","bkbplo","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-27903EF7","species","Black-bellied Plover","Pluvialis squatarola","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000007","Common Raven","Corvus corax","comrav","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-B9B272F4","species","Common Raven","Corvus corax","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000008","Osprey","Pandion haliaetus","osprey","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-1327AC55","species","Osprey","Pandion haliaetus","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000009","Caspian Tern","Hydroprogne caspia","caster1","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_exploratory","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-BC06BC0D","species","Caspian Tern","Hydroprogne caspia","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000010","Common Tern","Sterna hirundo","comter","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","guild_or_community_only","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-4D2FF6F1","species","Common Tern","Sterna hirundo","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_v2_000011","Glaucous Gull","Larus hyperboreus","glagul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-A59FA446","species","Glaucous Gull","Larus hyperboreus","candidate_identity","approve_exact_v2025_species_concept","0"
