"analysis_taxon_id","species","outcome","comparison","primary_estimate","primary_standard_error","primary_conf_low","primary_conf_high","primary_ratio","primary_ratio_conf_low","primary_ratio_conf_high","primary_q_value","primary_status","primary_direction","sensitivity_estimate","sensitivity_standard_error","sensitivity_conf_low","sensitivity_conf_high","sensitivity_ratio","sensitivity_ratio_conf_low","sensitivity_ratio_conf_high","sensitivity_q_value","sensitivity_status","sensitivity_direction","sign_agreement","estimate_difference_from_primary","primary_interval_excludes_zero","sensitivity_interval_excludes_zero","confidence_intervals_overlap","bh_threshold_crossing","interpretation_change_class","interpretation_changes_materially","interpretation_rule","model_n","model_event_blocks","model_observer_clusters","model_generalized_locations","retained_checklists","retained_fraction","changed_component"
"atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","active_minus_pre14",0.265309245535371,0.0364827310672532,0.193804406585894,0.336814084484848,1.3038341183201,1.21385883694139,1.40047866882038,2.32440140116456e-12,"completed","positive",1.13805605457572,0.0923195697466613,0.957113022804029,1.31899908634741,3.12069600221322,2.60416743856683,3.73967641020394,1.32288104500878e-33,"completed","positive",TRUE,0.872746809040348,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",16632,57,3846,2163,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","active_minus_pre14",0.0469494035312908,0.0427186330546705,-0.0367775787246458,0.130676385787227,1.04806897914879,0.963890501262992,1.13959893122164,0.434802345247555,"completed","positive",-0.0242173496534315,0.0952342615990125,-0.210873072481762,0.162438373174899,0.976073537455867,0.809876856017166,1.17637581990788,0.870315857489514,"completed","negative",FALSE,-0.0711667531847223,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_40f730f5ad72","Long-tailed Duck","conditional_positive_numeric_count","active_minus_pre14",0.359167543876526,0.0550939634298073,0.251185359788537,0.467149727964515,1.43213672721105,1.2855483512185,1.595440267558,4.06479584207625e-10,"completed","positive",1.86099493667098,0.193191261985246,1.48234702105206,2.23964285228991,6.43013116318772,4.40326812567156,9.3899770796928,5.95103118890624e-21,"completed","positive",TRUE,1.50182739279446,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",2946,44,1034,603,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_4ae57d328ec6","Greater Scaup","conditional_positive_numeric_count","active_minus_pre14",0.150424734942116,0.0538443604809927,0.0448917276287781,0.255957742255453,1.16232781914027,1.04591461012298,1.29169814253624,0.0159802645270829,"completed","positive",0.906611264367271,0.153411043026071,0.605931145205447,1.2072913835291,2.47591806938879,1.83295816472308,3.34441363927805,1.75663545600438e-08,"completed","positive",TRUE,0.756186529425155,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",4514,52,1505,708,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_59441ff7abde","Brant","checklist_reporting","active_minus_pre14",0.150813211009579,0.0554265413897836,0.0421791860979843,0.259447235921173,1.16277944339748,1.04308136768647,1.29621338840189,0.0260373264608843,"completed","positive",0.317241692712973,0.163304037524956,-0.00282833936591864,0.637311724791864,1.37333445674744,0.997175656617645,1.89138946340421,0.157509099697523,"completed","positive",TRUE,0.166428481703394,TRUE,FALSE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_5a9a3495d0ea","Western Gull","conditional_positive_numeric_count","active_minus_pre14",0.0701417524384904,0.0393137701599369,-0.00691182117147141,0.147195326048452,1.07266022268008,0.99311201052606,1.15858024183052,0.148797850005198,"completed_with_singular_warning","positive",,,,,,,,,"failed_insufficient_support","",,,FALSE,FALSE,,,"not_assessable__failed_or_unsupported_component",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",712,,,,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_6b4cfd1ab927","Horned Grebe","checklist_reporting","active_minus_pre14",-0.0684896554256355,0.0379976619824376,-0.14296370440794,0.00598439355666908,0.933803119849375,0.866785528818515,1.00600233581311,0.163363315902389,"completed","negative",0.0315062306855669,0.0954180980415123,-0.155509804949109,0.218522266320243,1.03200780569175,0.855978684060348,1.24423672089201,0.850993348392021,"completed","positive",FALSE,0.0999958861112024,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217142,58,29242,22975,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_6cbe5bbd310c","Rhinoceros Auklet","conditional_positive_numeric_count","active_minus_pre14",,,,,,,,,"failed_insufficient_support","",,,,,,,,,"failed_insufficient_support","",,,FALSE,FALSE,,,"not_assessable__failed_or_unsupported_component",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",1816,,,,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","active_minus_pre14",0.128705392760653,0.0284910083749518,0.0728640424625186,0.184546743058788,1.13735500178618,1.07558429318161,1.20267319659496,5.00819359055838e-05,"completed","positive",0.0282547404328839,0.0636595489052544,-0.0965156826934809,0.153025163559249,1.02865769175376,0.907995657670509,1.16535430303584,0.850993348392021,"completed","positive",TRUE,-0.100450652327769,TRUE,FALSE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217037,58,29206,22967,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","active_minus_pre14",0.156503563187879,0.0154322675316707,0.126256874626017,0.18675025174974,1.16941492915672,1.13457357401657,1.2053262193419,1.66599221144593e-22,"completed","positive",0.278436660532995,0.0325184342521067,0.214701700565233,0.342171620500758,1.32106292732426,1.23949210202056,1.4080019187743,9.06245577864437e-17,"completed","positive",TRUE,0.121933097345116,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",85053,57,13084,7897,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_7571c026ae99","American Herring Gull","checklist_reporting","active_minus_pre14",0.329755159087973,0.061193495610846,0.209818111602605,0.449692206573341,1.39062760424744,1.2334536886374,1.56782954358934,8.51492901048739e-07,"completed","positive",0.430565051833942,0.187480926363298,0.0631091883736711,0.798020915294213,1.53812639918797,1.06514313412871,2.2211407500779,0.0757494793138101,"completed","positive",TRUE,0.100809892745969,TRUE,TRUE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217179,58,29244,22979,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_7b80ddaff058","Great Blue Heron","conditional_positive_numeric_count","active_minus_pre14",0.00330600519061,0.0140527085877955,-0.024236797526706,0.030848807907926,1.00331147605301,0.976054555085988,1.03132956322404,0.87080019078716,"completed","positive",-0.0384624133015596,0.0314147286013541,-0.100034149944314,0.0231093233411947,0.962267872532443,0.904806518416134,1.02337841257931,0.306815874316403,"completed","negative",FALSE,-0.0417684184921696,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",50285,56,9694,4469,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_7d980a7c8c37","Northern Pintail","checklist_reporting","active_minus_pre14",0.186752293661297,0.0462290644421149,0.0961449923157709,0.277359595006824,1.20532868051395,1.10091867717084,1.31964082197513,0.000321095707698144,"completed","positive",0.210935677929557,0.101729276732148,0.0115499593612389,0.410321396497875,1.23483292549647,1.01161691768218,1.50730214890417,0.12454411810217,"completed","positive",TRUE,0.0241833842682599,TRUE,TRUE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_815c98107028","Mallard","checklist_reporting","active_minus_pre14",0.0142015797534366,0.0278505109470014,-0.0403844186537247,0.0687875781605979,1.01430290126083,0.960420164752143,1.07120863686951,0.744798270375646,"completed","positive",-0.0673597378989119,0.0677244983693334,-0.200097315573847,0.0653778397760232,0.934858836685159,0.818651081701616,1.0675623156959,0.580602831836207,"completed","negative",FALSE,-0.0815613176523485,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","active_minus_pre14",0.178954138889555,0.0212221360508088,0.137359516554961,0.22054876122415,1.19596589458618,1.14724052634937,1.24676071683484,5.19133719770113e-16,"completed","positive",0.378930844652302,0.0484259773632222,0.284017673104235,0.473844016200369,1.46072201551155,1.32845640849391,1.60615643310356,2.97460445606695e-14,"completed","positive",TRUE,0.199976705762747,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",21195,55,4512,2398,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count","active_minus_pre14",0.017734380565109,0.0307947326364162,-0.0426221863158069,0.0780909474460249,1.01789256842977,0.958273370474712,1.08122098848608,0.702046394985908,"completed","positive",0.202262209282892,0.0818063948841937,0.0419246216048104,0.362599796960973,1.22416895449566,1.04281587000134,1.43706062811363,0.0289569054346941,"completed","positive",TRUE,0.184527828717783,FALSE,TRUE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",8109,53,2049,1275,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_87b306550dba","Harlequin Duck","checklist_reporting","active_minus_pre14",0.140002536658416,0.0473032457539805,0.0472898786287665,0.232715194688065,1.15027671671264,1.04842588129133,1.26202199756985,0.0134381384326743,"completed","positive",-0.173051975712973,0.120983611217869,-0.410175496419593,0.0640715449936466,0.84109389725352,0.663533792112841,1.06616867506396,0.393571399040074,"completed","negative",FALSE,-0.313054512371389,TRUE,FALSE,TRUE,TRUE,"material_direction_reversal__at_least_one_interval_excludes_zero",TRUE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count","active_minus_pre14",0.184587097561528,0.0232612018548366,0.138995979688932,0.230178215434124,1.20272173085304,1.14911948017655,1.25882433186486,1.93022095576243e-14,"completed","positive",0.616109191410449,0.0597102158059767,0.49907931892162,0.733139063899277,1.85170936101306,1.64720402278057,2.0816046526376,7.95842269213696e-24,"completed","positive",TRUE,0.431522093848921,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",12030,56,2980,1529,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_98ca0000b734","Brandt's Cormorant","checklist_reporting","active_minus_pre14",-0.00920227665638125,0.0784217305486456,-0.162906044137031,0.144501490824269,0.990839934711987,0.849671016237956,1.15546341755537,0.946004757190418,"completed","negative",0.251994553569095,0.193034437390388,-0.126345991492017,0.630335098630207,1.2865890299475,0.881309868310214,1.87823986942876,0.427065365987613,"completed","positive",FALSE,0.261196830225476,FALSE,FALSE,TRUE,FALSE,"direction_reversal__both_intervals_include_zero",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_99238953638b","Bufflehead","checklist_reporting","active_minus_pre14",-0.0591206638669476,0.0286526562811337,-0.115278838239375,-0.00296248949452019,0.942593025375456,0.891117631589605,0.997041894347385,0.110339875065313,"completed","negative",-0.328449101642697,0.0658517524466288,-0.457516164756937,-0.199382038528458,0.720039576124771,0.632853599019794,0.819236853498125,1.38737892363408e-05,"completed","negative",TRUE,-0.26932843777575,TRUE,TRUE,FALSE,TRUE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217200,58,29248,22980,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_99238953638b","Bufflehead","conditional_positive_numeric_count","active_minus_pre14",0.113742308961158,0.0138977949172944,0.0865031314587371,0.140981486463579,1.1204633543132,1.09035478211344,1.15140333123991,3.15240837869813e-15,"completed","positive",0.265318061057102,0.0320041985622313,0.20259098452106,0.328045137593144,1.30384561234876,1.22457149710462,1.38825163321262,7.73203107234184e-16,"completed","positive",TRUE,0.151575752095944,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",50039,56,9201,4277,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_9ae1aa9b7fdf","Common Loon","conditional_positive_numeric_count","active_minus_pre14",0.0440614318676406,0.0183225238258899,0.00814994506301941,0.0799729186722618,1.04504655207801,1.00818324627148,1.08325773122008,0.0413558003378026,"completed","positive",0.0213790026934006,0.0462727043651061,-0.0693138313294767,0.112071836716278,1.02160917090065,0.93303381888227,1.11859321382219,0.660167257527494,"completed","positive",TRUE,-0.02268242917424,TRUE,FALSE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",15359,56,3457,2117,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_a113baee5693","American Wigeon","checklist_reporting","active_minus_pre14",0.100389607245839,0.0302627849219098,0.0410756387270141,0.159703575764664,1.10560158456316,1.04193091289289,1.17316306548076,0.00436339698500843,"completed","positive",-0.0063031732792912,0.0690500133404883,-0.141638712558659,0.129032366000076,0.993716650045585,0.867934773781244,1.13772694724028,0.966724956034468,"completed","negative",FALSE,-0.10669278052513,TRUE,FALSE,TRUE,TRUE,"material_direction_reversal__at_least_one_interval_excludes_zero",TRUE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",217190,58,29247,22979,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_a113baee5693","American Wigeon","conditional_positive_numeric_count","active_minus_pre14",0.0549120928601792,0.0238817919853752,0.00810464068256657,0.101719545037792,1.05644774129413,1.00813757218875,1.10707294408476,0.0520193998101351,"completed","positive",0.185825114887367,0.0511186698101869,0.0856343631218061,0.286015866652929,1.2042116432724,1.08940792776082,1.33111357540185,0.000669978886769203,"completed","positive",TRUE,0.130913022027188,TRUE,TRUE,TRUE,TRUE,"same_direction__compatible_magnitude",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",34665,56,6758,2933,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
"atx_a444854c6b66","Double-crested Cormorant","conditional_positive_numeric_count","active_minus_pre14",0.0919497034097453,0.0224704849478311,0.047908362196847,0.135991044622644,1.09630968005533,1.04907451603555,1.14567163362712,0.000163924576524155,"completed","positive",0.235480100765104,0.0471301771872748,0.143106650893054,0.327853550637154,1.26551619820256,1.15385285454143,1.38798568778472,2.39512219908213e-06,"completed","positive",TRUE,0.143530397355358,TRUE,TRUE,FALSE,FALSE,"same_direction__nonoverlapping_intervals__encoding_scales_not_directly_comparable",FALSE,"BH threshold crossing or same-direction interval nonoverlap alone is not material because exposure units differ; material means a sign reversal with at least one 95% interval excluding zero",29011,54,5863,2819,217200,1,"for each checklist with modeled-window links, one minimum-distance event retained; checklists without a modeled link retained with all exposure terms zero; deterministic source-token tie break"
